501 90
0 1 100
1 250 191007
405 12 456782
6 398 -226294
165 66 -157377
250 262 685548
196 211 -929810
31 455 701798
71 52 437593
89 336 541581
54 126 -263570
366 273 -283916
90 354 817608
379 80 -489493
250 382 330817
17 422 246951
494 369 896597
197 257 -272654
459 87 360007
69 277 -531519
423 429 -324769
150 131 -999777
119 476 86230
311 438 -308078
265 488 -257213
356 46 -889815
195 230 406372
468 468 576021
286 150 352731
119 418 -396539
460 353 586277
462 206 -441804
384 492 708466
50 292 151926
420 399 -653625
282 189 300706
319 86 143395
136 255 -488521
247 227 -186424
57 406 479593
393 243 -480901
311 178 -477911
220 264 -986094
190 69 -442743
435 159 -147852
352 7 -59671
52 199 -606689
500 308 -103237
371 79 378869
345 346 -993547
24 186 672592
458 168 692670
477 111 -33762
375 110 838124
105 267 631887
334 171 406637
494 36 -827776
479 478 570543
390 34 -452266
20 357 634251
182 322 -613922
215 181 759316
257 150 -577504
110 100 -154185
362 442 30357
500 73 392146
213 374 391844
117 291 418126
234 315 293952
426 256 -601451
414 396 865212
50 299 -392132
309 473 -527821
253 345 244717
307 297 66739
211 418 -156871
410 322 -28293
266 389 -822302
377 304 -495397
398 208 -27804
254 421 -625408
120 80 792440
274 118 -260425
352 237 876641
198 465 -685381
381 441 -214357
146 10 477796
59 270 -111356
411 493 686719
161 251 219345
